lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.0004	0.0000	0.0034	0.0475	0.0715	0.0351
7.1000	0.0004	0.0000	0.0032	0.0449	0.0712	0.0341
7.2000	0.0003	0.0000	0.0030	0.0429	0.0702	0.0331
7.3000	0.0003	0.0000	0.0028	0.0408	0.0695	0.0322
7.4000	0.0003	0.0000	0.0027	0.0386	0.0690	0.0313
7.5000	0.0003	0.0000	0.0025	0.0369	0.0678	0.0305
7.6000	0.0003	0.0000	0.0023	0.0351	0.0670	0.0297
7.7000	0.0002	0.0000	0.0022	0.0329	0.0668	0.0289
7.8000	0.0002	0.0000	0.0021	0.0316	0.0650	0.0281
7.9000	0.0002	0.0000	0.0019	0.0305	0.0628	0.0274
8.0000	0.0002	0.0000	0.0018	0.0296	0.0605	0.0266
8.1000	0.0002	0.0000	0.0017	0.0289	0.0579	0.0260
8.2000	0.0002	0.0000	0.0016	0.0282	0.0554	0.0253
8.3000	0.0002	0.0000	0.0015	0.0277	0.0527	0.0247
8.4000	0.0002	0.0000	0.0014	0.0272	0.0502	0.0240
8.5000	0.0001	0.0000	0.0013	0.0267	0.0477	0.0235
8.6000	0.0001	0.0000	0.0012	0.0263	0.0452	0.0229
8.7000	0.0001	0.0000	0.0011	0.0259	0.0428	0.0223
8.8000	0.0001	0.0000	0.0010	0.0256	0.0403	0.0218
8.9000	0.0001	0.0000	0.0010	0.0253	0.0378	0.0213
9.0000	0.0001	0.0000	0.0009	0.0251	0.0353	0.0207
9.1000	0.0001	0.0000	0.0008	0.0250	0.0328	0.0202
9.2000	0.0001	0.0000	0.0008	0.0251	0.0302	0.0198
9.3000	0.0001	0.0000	0.0007	0.0252	0.0275	0.0193
9.4000	0.0001	0.0000	0.0006	0.0255	0.0249	0.0188
9.5000	0.0001	0.0000	0.0006	0.0258	0.0224	0.0184
9.6000	0.0001	0.0000	0.0005	0.0265	0.0198	0.0180
9.7000	0.0001	0.0000	0.0005	0.0272	0.0173	0.0175
9.8000	0.0000	0.0000	0.0004	0.0279	0.0152	0.0171
9.9000	0.0000	0.0000	0.0004	0.0294	0.0126	0.0167
10.0000	0.0000	0.0000	0.0003	0.0310	0.0104	0.0163
10.1000	0.0000	0.0000	0.0003	0.0352	0.0079	0.0159
10.2000	0.0000	0.0000	0.0002	0.0394	0.0061	0.0155
10.3000	0.0000	0.0000	0.0002	0.0449	0.0047	0.0151
10.4000	0.0000	0.0000	0.0002	0.0518	0.0035	0.0147
10.5000	0.0000	0.0000	0.0002	0.0618	0.0028	0.0143
10.6000	0.0000	0.0000	0.0002	0.0748	0.0023	0.0140
10.7000	0.0000	0.0000	0.0002	0.0912	0.0023	0.0136
10.8000	0.0000	0.0000	0.0003	0.1087	0.0024	0.0133
10.9000	0.0000	0.0000	0.0003	0.1262	0.0026	0.0130
11.0000	0.0000	0.0000	0.0004	0.1448	0.0028	0.0128
11.1000	0.0001	0.0000	0.0005	0.1598	0.0031	0.0126
11.2000	0.0001	0.0000	0.0006	0.1715	0.0034	0.0124
11.3000	0.0001	0.0000	0.0007	0.1826	0.0036	0.0122
11.4000	0.0001	0.0000	0.0007	0.1907	0.0038	0.0121
11.5000	0.0001	0.0000	0.0008	0.1948	0.0040	0.0119
11.6000	0.0001	0.0000	0.0008	0.1986	0.0042	0.0118
11.7000	0.0001	0.0000	0.0009	0.2010	0.0043	0.0117
11.8000	0.0001	0.0000	0.0009	0.2027	0.0045	0.0116
11.9000	0.0001	0.0000	0.0010	0.2042	0.0047	0.0114
12.0000	0.0001	0.0000	0.0010	0.2020	0.0048	0.0113
12.1000	0.0001	0.0000	0.0010	0.1997	0.0049	0.0113
12.2000	0.0001	0.0000	0.0010	0.1974	0.0051	0.0112
12.3000	0.0001	0.0000	0.0010	0.1932	0.0052	0.0111
12.4000	0.0001	0.0000	0.0010	0.1891	0.0054	0.0110
12.5000	0.0001	0.0000	0.0010	0.1850	0.0055	0.0109
12.6000	0.0001	0.0000	0.0010	0.1787	0.0056	0.0109
12.7000	0.0001	0.0000	0.0010	0.1726	0.0057	0.0108
12.8000	0.0001	0.0000	0.0010	0.1667	0.0059	0.0107
12.9000	0.0001	0.0000	0.0010	0.1604	0.0060	0.0107
13.0000	0.0001	0.0000	0.0009	0.1541	0.0061	0.0106
13.1000	0.0001	0.0000	0.0009	0.1480	0.0062	0.0105
13.2000	0.0001	0.0000	0.0009	0.1417	0.0064	0.0104
13.3000	0.0001	0.0000	0.0009	0.1350	0.0065	0.0104
13.4000	0.0001	0.0000	0.0008	0.1290	0.0066	0.0103
13.5000	0.0001	0.0000	0.0008	0.1234	0.0067	0.0102
13.6000	0.0001	0.0000	0.0008	0.1179	0.0068	0.0101
13.7000	0.0001	0.0000	0.0008	0.1126	0.0069	0.0100
13.8000	0.0001	0.0000	0.0008	0.1074	0.0070	0.0099
13.9000	0.0001	0.0000	0.0007	0.1022	0.0071	0.0098
14.0000	0.0001	0.0000	0.0007	0.0969	0.0073	0.0097
14.1000	0.0001	0.0000	0.0007	0.0917	0.0074	0.0096
14.2000	0.0001	0.0000	0.0007	0.0868	0.0076	0.0095
14.3000	0.0001	0.0000	0.0006	0.0821	0.0077	0.0094
14.4000	0.0001	0.0000	0.0006	0.0777	0.0078	0.0092
14.5000	0.0001	0.0000	0.0006	0.0734	0.0079	0.0091
14.6000	0.0001	0.0000	0.0006	0.0692	0.0081	0.0090
14.7000	0.0001	0.0000	0.0005	0.0650	0.0082	0.0089
14.8000	0.0001	0.0000	0.0005	0.0620	0.0083	0.0088
14.9000	0.0001	0.0000	0.0005	0.0592	0.0083	0.0086
