lambda	I_scat	LDR	x_scat	x_ext	ssa	asym
7.0000	0.0004	0.0000	0.0034	0.0479	0.0718	0.0366
7.1000	0.0004	0.0000	0.0032	0.0453	0.0715	0.0356
7.2000	0.0003	0.0000	0.0030	0.0432	0.0705	0.0346
7.3000	0.0003	0.0000	0.0029	0.0411	0.0697	0.0337
7.4000	0.0003	0.0000	0.0027	0.0389	0.0692	0.0327
7.5000	0.0003	0.0000	0.0025	0.0371	0.0681	0.0319
7.6000	0.0003	0.0000	0.0024	0.0353	0.0672	0.0310
7.7000	0.0002	0.0000	0.0022	0.0332	0.0670	0.0302
7.8000	0.0002	0.0000	0.0021	0.0318	0.0652	0.0294
7.9000	0.0002	0.0000	0.0019	0.0307	0.0630	0.0286
8.0000	0.0002	0.0000	0.0018	0.0298	0.0607	0.0279
8.1000	0.0002	0.0000	0.0017	0.0291	0.0581	0.0271
8.2000	0.0002	0.0000	0.0016	0.0284	0.0555	0.0264
8.3000	0.0002	0.0000	0.0015	0.0279	0.0529	0.0258
8.4000	0.0002	0.0000	0.0014	0.0274	0.0504	0.0251
8.5000	0.0001	0.0000	0.0013	0.0269	0.0479	0.0245
8.6000	0.0001	0.0000	0.0012	0.0265	0.0453	0.0239
8.7000	0.0001	0.0000	0.0011	0.0261	0.0429	0.0233
8.8000	0.0001	0.0000	0.0010	0.0258	0.0404	0.0228
8.9000	0.0001	0.0000	0.0010	0.0255	0.0379	0.0222
9.0000	0.0001	0.0000	0.0009	0.0253	0.0354	0.0217
9.1000	0.0001	0.0000	0.0008	0.0252	0.0329	0.0212
9.2000	0.0001	0.0000	0.0008	0.0252	0.0302	0.0207
9.3000	0.0001	0.0000	0.0007	0.0254	0.0276	0.0202
9.4000	0.0001	0.0000	0.0006	0.0257	0.0249	0.0197
9.5000	0.0001	0.0000	0.0006	0.0260	0.0225	0.0192
9.6000	0.0001	0.0000	0.0005	0.0266	0.0198	0.0188
9.7000	0.0001	0.0000	0.0005	0.0273	0.0174	0.0183
9.8000	0.0000	0.0000	0.0004	0.0281	0.0152	0.0179
9.9000	0.0000	0.0000	0.0004	0.0296	0.0126	0.0175
